Species,Class,Order,K,Lm,QB,Troph,DepthMax,TempPrefMean,Generation_time,RepGuildCombined,BodyShapIII_combined,PositionWaterColumn,SwimMode
Callionymus megastomus,Actinopterygii,Perciformes,0.75999999,0.9,161.6,3.24,200,22.84180574,2.101619,nonguarders,elongated,demersal,subcarangiform
Callionymus melanotopterus,Actinopterygii,Perciformes,0.75999999,0.9,73.4,3.24,50,27.39016667,2.101619,nonguarders,elongated,demersal,subcarangiform
Callionymus meridionalis,Actinopterygii,Perciformes,0.709999979,7.5,43.6,3.25,70,28,1.592584,nonguarders,elongated,demersal,subcarangiform
Callionymus moretonensis,Actinopterygii,Perciformes,0.779999971,8.2,16.3,3.24,132,22.2,1.42086,nonguarders,elongated,demersal,subcarangiform
Callionymus mortenseni,Actinopterygii,Perciformes,0.75999999,0.9,29.3,3.24,290,14.22863294,2.101619,nonguarders,elongated,bathydemersal,subcarangiform
Callionymus muscatensis,Actinopterygii,Perciformes,1.200000048,5.4,48,3.18,70,26.70266667,0.9863434,nonguarders,elongated,demersal,subcarangiform
Callionymus neptunius,Actinopterygii,Perciformes,0.720000029,8.8,15.6,3.25,37,28.6,1.529601,nonguarders,elongated,demersal,subcarangiform
Callionymus obscurus,Actinopterygii,Perciformes,0.75999999,0.9,161.6,3.24,40,27.59292857,2.101619,nonguarders,elongated,demersal,subcarangiform
Callionymus ochiaii,Actinopterygii,Perciformes,0.75999999,0.9,48.3,3.24,200,17.9,2.101619,nonguarders,elongated,demersal,subcarangiform
Callionymus octostigmatus,Actinopterygii,Perciformes,0.629999995,10,14.3,3.31,148,26,1.720236,nonguarders,elongated_circular,demersal,subcarangiform
Callionymus ogilbyi,Actinopterygii,Perciformes,0.75999999,0.9,106.3,3.24,200,18.2,2.101619,nonguarders,fusiform_normal,demersal,subcarangiform
Callionymus omanensis,Actinopterygii,Perciformes,0.689999998,7.7,15,3.26,500,15.95936667,1.626284,nonguarders,elongated_other,demersal,subcarangiform
Callionymus oxycephalus,Actinopterygii,Perciformes,0.75999999,0.9,183.5,3.24,200,22.68000574,2.101619,nonguarders,elongated,demersal,subcarangiform
Callionymus persicus,Actinopterygii,Perciformes,0.379999995,16.2,25.8,3.34,100,25.7,2.045154,nonguarders,fusiform_normal,demersal,subcarangiform
Callionymus petersi,Actinopterygii,Perciformes,0.850000024,6.4,42.9,3.23,207,18.7128359,1.370934,nonguarders,elongated,benthopelagic,subcarangiform
Callionymus planus,Actinopterygii,Perciformes,0.769999981,7,18,3.24,50,25.3,1.472718,nonguarders,elongated,demersal,subcarangiform
Callionymus platycephalus,Actinopterygii,Perciformes,0.879999995,6.1,20,3.22,48,25.79507955,1.313049,nonguarders,elongated,demersal,subcarangiform
Callionymus pleurostictus,Actinopterygii,Perciformes,2.980000019,1.9,97.8,3.05,42,28.2,0.4754357,nonguarders,elongated_oval,demersal,subcarangiform
Callionymus profundus,Actinopterygii,Perciformes,1.139999986,4.8,52.1,3.18,434.21,16.783,1.057662,nonguarders,elongated_other,demersal,subcarangiform
Callionymus pusillus,Actinopterygii,Perciformes,0.670000017,9.4,11.9,3.29,100,17.1,1.626858,nonguarders,elongated,demersal,subcarangiform
Callionymus regani,Actinopterygii,Perciformes,0.75999999,0.9,73.4,3.24,148,25.9,2.101619,nonguarders,fusiform_normal,demersal,subcarangiform
Callionymus reticulatus,Actinopterygii,Perciformes,0.519999981,12,6.6,3.28,110,10.5,2.040757,nonguarders_open_water_substratum_egg_scatterers,elongated,demersal,subcarangiform
Callionymus risso,Actinopterygii,Perciformes,0.529999971,11.9,9,3.03,150,14.8,2.017393,nonguarders,elongated,demersal,subcarangiform
Callionymus rivatoni,Actinopterygii,Perciformes,0.75999999,0.9,161.6,3.24,110,25.11205202,2.101619,nonguarders,elongated,demersal,subcarangiform
Callionymus russelli,Actinopterygii,Perciformes,0.75999999,0.9,73.4,3.24,29,28.4,2.101619,nonguarders,elongated,demersal,subcarangiform
Callionymus sagitta,Actinopterygii,Perciformes,0.839999974,7.6,58.8,2.87,50,28.3,1.340814,nonguarders,elongated,demersal,subcarangiform
Callionymus scaber,Actinopterygii,Perciformes,0.75999999,0.9,106.3,3.24,199.9187113,20.83395812,2.101619,nonguarders,elongated,demersal,subcarangiform
Callionymus scabriceps,Actinopterygii,Perciformes,0.939999998,5.8,20.8,3.21,3,28.7,1.259814,nonguarders,elongated,demersal,subcarangiform
Callionymus schaapii,Actinopterygii,Perciformes,1.370000005,4.8,23.6,3.16,8,28.8,0.8848429,nonguarders,elongated_angular,demersal,subcarangiform
Callionymus semeiophor,Actinopterygii,Perciformes,0.680000007,7.8,17,3.26,150,21.79260256,1.656918,nonguarders,elongated,demersal,subcarangiform
Callionymus sereti,Actinopterygii,Perciformes,0.75999999,0.9,64.6,3.24,400,13.65673175,2.101619,nonguarders,elongated,bathydemersal,subcarangiform
Callionymus simplicicornis,Actinopterygii,Perciformes,1.480000019,4.5,54.5,3.15,40,27.6,0.8307683,nonguarders,elongated_angular,reef_associated,subcarangiform
Callionymus sokonumeri,Actinopterygii,Perciformes,0.560000002,9.4,14.7,3.29,146,21.15936508,1.943384,nonguarders,elongated_circular,demersal,subcarangiform
Callionymus sphinx,Actinopterygii,Perciformes,1.440000057,3.8,69.3,3.15,200,22.97321923,0.8744981,nonguarders,elongated,demersal,subcarangiform
Callionymus stigmatopareius,Actinopterygii,Perciformes,0.75999999,0.9,73.4,3.24,200,20.81510098,2.101619,nonguarders,elongated,demersal,subcarangiform
Callionymus sublaevis,Actinopterygii,Perciformes,0.660000026,9.6,32.4,3.26,38,27.6,1.648804,nonguarders,elongated,demersal,subcarangiform
Callionymus superbus,Actinopterygii,Perciformes,0.330000013,18.5,9.4,3.36,25,28.8,2.39934,nonguarders,elongated_circular,demersal,subcarangiform
Callionymus tenuis,Actinopterygii,Perciformes,3.690000057,1.6,127.3,3.01,200,26.24236667,0.4241247,nonguarders,elongated_oval,demersal,subcarangiform
Callionymus tethys,Actinopterygii,Perciformes,0.75999999,0.9,161.6,3.24,55,26.2,2.101619,nonguarders,elongated,demersal,subcarangiform
Callionymus umbrithorax,Actinopterygii,Perciformes,0.75999999,0.9,73.4,3.24,13,28.8,2.101619,nonguarders,elongated,demersal,subcarangiform
Callionymus valenciennei,Actinopterygii,Perciformes,0.769999981,7,20.8,3.24,50,24.3,1.472718,nonguarders,elongated,demersal,subcarangiform
Callionymus whiteheadi,Actinopterygii,Perciformes,0.75999999,0.9,183.5,3.24,220,18.8,2.101619,nonguarders,elongated,demersal,subcarangiform
Callionymus zythros,Actinopterygii,Perciformes,0.980000019,6.5,42.1,3.21,27,28.8,1.164124,nonguarders,elongated,demersal,subcarangiform
Callochromis macrops,Actinopterygii,Perciformes,0.899999976,9.1,15.3,3.53,85.96,24.269,1.223648,bearers_external_brooders,fusiform_normal,benthopelagic,carangiform
Callogobius andamanensis,Actinopterygii,Perciformes,1.120000005,4.1,58.4,3.26,26.01652381,27.85591667,1.1326,guarders,elongated,benthopelagic,diodontiform
Callogobius bauchotae,Actinopterygii,Perciformes,1.769999981,2.6,78.2,3.15,37.74977778,27.51752381,0.7262237,guarders,fusiform_normal_compressed,reef_associated,diodontiform
Callogobius bifasciatus,Actinopterygii,Perciformes,1.059999943,5.1,49.9,3.27,17,27.4,1.126336,guarders,fusiform_normal,reef_associated,diodontiform
Callogobius centrolepis,Actinopterygii,Perciformes,1.49000001,3.1,70.2,3.19,30,28.4,0.869648,guarders,fusiform_normal,demersal,diodontiform
Callogobius clitellus,Actinopterygii,Perciformes,1.210000038,3.8,61,3.24,22,28.7,1.033039,guarders,elongated,reef_associated,diodontiform
Callogobius crassus,Actinopterygii,Perciformes,2.019999981,2.8,75.7,3.12,25,28.8,0.6633085,guarders,fusiform_normal,demersal,diodontiform
Callogobius depressus,Actinopterygii,Perciformes,0.560000002,9.4,14.7,3.42,20,17.6,1.943384,guarders,fusiform_normal,reef_associated,diodontiform
Callogobius dori,Actinopterygii,Perciformes,2.400000095,2,95.5,3.08,27,29,0.6008413,guarders,elongated_oval,demersal,diodontiform
Callogobius flavobrunneus,Actinopterygii,Perciformes,1.059999943,5.1,22.7,3.27,20,28.3,1.126336,guarders,fusiform_normal,demersal,diodontiform
Callogobius hasseltii,Actinopterygii,Perciformes,1.019999981,5.3,22.1,3.13,15,28.6,1.167564,guarders,elongated,reef_associated,diodontiform
Callogobius hastatus,Actinopterygii,Perciformes,1,5.4,48,3.29,10,28.8,1.181612,guarders,elongated,reef_associated,diodontiform
Callogobius liolepis,Actinopterygii,Perciformes,1.190000057,0.9,161.6,3.24,18.78533071,27.57326111,1.344311,guarders,elongated,demersal,diodontiform
Callogobius maculipinnis,Actinopterygii,Perciformes,1.090000033,5,50.7,3.26,37,28.1,1.11353,guarders,elongated,reef_associated,diodontiform
Callogobius mucosus,Actinopterygii,Perciformes,0.699999988,7.6,17,3.37,20,15.8,1.608977,guarders,fusiform_normal,reef_associated,diodontiform
Callogobius nigromarginatus,Actinopterygii,Perciformes,1.190000057,0.9,161.6,3.24,4,27.27603333,1.344311,guarders,elongated,demersal,diodontiform
Callogobius okinawae,Actinopterygii,Perciformes,1.210000038,3.8,61,3.24,12,28.7,1.033039,guarders,fusiform_normal,reef_associated,diodontiform
Callogobius pilosimentum,Actinopterygii,Perciformes,0.920000017,4.9,51.2,3.3,20,28.07230556,1.293102,guarders,elongated_oval,reef_associated,diodontiform
Callogobius plumatus,Actinopterygii,Perciformes,1.519999981,3,32.3,3.19,6,27.5,0.8334507,guarders,elongated,reef_associated,diodontiform
Callogobius producta,Actinopterygii,Perciformes,1.059999943,5.1,49.9,3.27,20,28.8,1.126336,guarders,fusiform_normal,reef_associated,diodontiform
Callogobius sclateri,Actinopterygii,Perciformes,1.059999943,5.1,49.9,3.27,37,27.6,1.126336,guarders,elongated,reef_associated,diodontiform
Callogobius seshaiyai,Actinopterygii,Perciformes,1.679999948,2.8,34.4,3.16,41.121,24.96767778,0.8058829,guarders,fusiform_normal,demersal,diodontiform
Callogobius snelliusi,Actinopterygii,Perciformes,1.769999981,2.6,78.2,3.15,15,28.6,0.7262237,guarders,elongated,reef_associated,diodontiform
Callogobius stellatus,Actinopterygii,Perciformes,1.669999957,3.3,30.6,3.17,10,27.41033333,0.7689666,guarders,elongated,demersal,diodontiform
Calloplesiops argus,Actinopterygii,Perciformes,0.439999998,10.6,30.4,3.78,60,24.85401538,2.456468,guarders_nesters,fusiform_normal_oval,reef_associated,labriform
Calophysus macropterus,Actinopterygii,Siluriformes,0.425999999,23.91378,7.5,3.18,224.48,20.5524,1.934833,nonguarders,elongated,demersal,carangiform
Calotomus japonicus,Actinopterygii,Perciformes,0.280000001,28.68041,11.5,2,10,20.5,3.152627,nonguarders,short_and_or_deep_compressed,reef_associated,labriform
Calotomus spinidens,Actinopterygii,Perciformes,0.949999988,17.55639,22.8,2,72,27.6,0.8778164,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal_compressed,reef_associated,labriform
Calotomus viridescens,Actinopterygii,Perciformes,0.769999981,13.5,29.3,2,30,27.5,1.369347,nonguarders,short_and_or_deep_compressed,reef_associated,labriform
Calotomus zonarchus,Actinopterygii,Perciformes,0.610000014,20.1,22.3,2,170,13.5,1.314988,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,labriform
Calumia eilperinae,Actinopterygii,Perciformes,2.880000114,1.8,102.9,3.05,12,27.324,0.5197703,guarders,fusiform_normal,demersal,subcarangiform
Calumia godeffroyi,Actinopterygii,Perciformes,2.210000038,2.8,74.5,3.1,30,28.6,0.5828726,guarders,elongated,reef_associated,subcarangiform
Calumia papuensis,Actinopterygii,Perciformes,2.130000114,2.4,82.5,3.1,12,28.8,0.615054,guarders,fusiform_normal,demersal,subcarangiform
Calumia profunda,Actinopterygii,Perciformes,2.900000095,1.8,100.2,3.05,110,27.4,0.4672332,guarders,fusiform_normal,demersal,subcarangiform
Campichthys nanus,Actinopterygii,Syngnathiformes,5.139999866,2,42.4,3.07,33.31833333,26.589,0.258601,bearers_external_brooders,eel_like,demersal,amiiform
Campichthys tricarinatus,Actinopterygii,Syngnathiformes,3.039999962,3.4,65.6,3.16,11,28.1,0.4199427,bearers_external_brooders,eel_like,reef_associated,amiiform
Campichthys tryoni,Actinopterygii,Syngnathiformes,1.929999948,5.2,22.3,3.24,38.445,23.47528571,0.6119232,bearers_external_brooders,eel_like,demersal,amiiform
Campogramma glaycos,Actinopterygii,Perciformes,0.280000001,34.1,4.1,4.5,30,16.1,3.094266,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,benthopelagic,carangiform
Campostoma anomalum,Actinopterygii,Cypriniformes,0.349999994,14.1,18.9,2,220.2916667,16.67525,2.985886,mixed,fusiform_normal,benthopelagic,subcarangiform
Cancelloxus elongatus,Actinopterygii,Perciformes,0.832563334,3.8,18.2,3.17,25,21,1.531571127,guarders,elongated,demersal,anguilliform
Cancelloxus longior,Actinopterygii,Perciformes,0.543895714,6.4,28.1,3.38,10,16.8,2.124318667,guarders,elongated,demersal,anguilliform
Candidia barbata,Actinopterygii,Cypriniformes,0.419999987,10,20.8,3.26,10,20.30425,2.601034,mixed,elongated,benthopelagic,subcarangiform
Cantherhines dumerilii,Actinopterygii,Tetraodontiformes,0.270000011,22.8,7.2,3.07,70,27.6,3.034818,mixed,short_and_or_deep,reef_associated,balistiform
Cantherhines fronticinctus,Actinopterygii,Tetraodontiformes,0.389999986,15.7,10.5,3.5,43,27.5,1.98867,mixed,short_and_or_deep,reef_associated,balistiform
Cantherhines longicaudus,Actinopterygii,Tetraodontiformes,0.589999974,8.9,34.1,3.04,21,27.8,1.859151,mixed,short_and_or_deep_compressed,demersal,balistiform
Cantherhines macrocerus,Actinopterygii,Tetraodontiformes,0.219999999,27,6.7,3.06,40,27.1,3.804158,mixed,short_and_or_deep,reef_associated,balistiform
Cantherhines nukuhiva,Actinopterygii,Tetraodontiformes,0.430000007,0.9,161.6,3.05,133.5695833,21.90013333,3.683558,mixed,short_and_or_deep,reef_associated,balistiform
Cantherhines pardalis,Actinopterygii,Tetraodontiformes,0.389999986,15.7,9,3.5,20,28.2,1.98867,mixed,short_and_or_deep,reef_associated,balistiform
Cantherhines pullus,Actinopterygii,Tetraodontiformes,0.479999989,12.9,23.9,2.62,50,26.4,2.188377,mixed,short_and_or_deep,reef_associated,balistiform
Cantherhines rapanui,Actinopterygii,Tetraodontiformes,0.430000007,12.9,17.4,3.05,20,24.7116,2.447026,mixed,short_and_or_deep,demersal,balistiform
Cantherhines sandwichiensis,Actinopterygii,Tetraodontiformes,0.5,12.5,41.8,2.66,73,27.5,2.112708,mixed,short_and_or_deep,reef_associated,balistiform
Cantherhines tiki,Actinopterygii,Tetraodontiformes,0.589999974,9.1,33.8,3.04,72.34,24.58766667,1.883192,mixed,short_and_or_deep,demersal,balistiform
Cantherhines verecundus,Actinopterygii,Tetraodontiformes,0.75,8.5,16,3.04,92,15.1,1.47244,mixed,short_and_or_deep,benthopelagic,balistiform
Cantheschenia grandisquamis,Actinopterygii,Tetraodontiformes,0.379999995,16.3,4.6,2.84,29,25.2,2.03956,mixed,short_and_or_deep_compressed,reef_associated,balistiform
Cantheschenia longipinnis,Actinopterygii,Tetraodontiformes,0.540000021,9.7,9.6,2.86,100.4026587,20.7775,2.013303,mixed,short_and_or_deep,demersal,balistiform
Canthidermis macrolepis,Actinopterygii,Tetraodontiformes,0.209999993,34.1,6.2,3.45,200,23.6,4.119021,guarders,short_and_or_deep,benthopelagic,balistiform
Canthidermis maculata,Actinopterygii,Tetraodontiformes,0.25,29,4.6,3.47,110,27.7,3.384554,guarders_nesters,short_and_or_deep,reef_associated,balistiform
Canthidermis sufflamen,Actinopterygii,Tetraodontiformes,0.360000014,33.85136,6.1,3.45,60,27.3,2.405442,guarders,short_and_or_deep,reef_associated,balistiform
Canthigaster amboinensis,Actinopterygii,Tetraodontiformes,1.049999952,10,48.7,2.74,16,28.2,1.038142,guarders,short_and_or_deep,reef_associated,tetraodontiform
Canthigaster axiologus,Actinopterygii,Tetraodontiformes,1.25999999,7.1,39.9,3.07,80,27.8,0.9084884,guarders,short_and_or_deep,reef_associated,tetraodontiform
Canthigaster bennetti,Actinopterygii,Tetraodontiformes,1.529999971,7,62.1,2.54,15,28.4,0.7420869,guarders_nesters,short_and_or_deep,reef_associated,tetraodontiform
Canthigaster callisterna,Actinopterygii,Tetraodontiformes,0.709999979,14.6,5,3.1,250,22.2,1.076987,guarders,short_and_or_deep,demersal,tetraodontiform
Canthigaster capistrata,Actinopterygii,Tetraodontiformes,1.340000033,0.9,73.4,3.51,20,20.2,1.196888,guarders,short_and_or_deep,reef_associated,tetraodontiform
Canthigaster compressa,Actinopterygii,Tetraodontiformes,1.070000052,8.2,12,3.5,25,28.6,1.0353,guarders,short_and_or_deep,reef_associated,tetraodontiform
Canthigaster coronata,Actinopterygii,Tetraodontiformes,1.159999967,7.6,17.3,3.08,165,26.8,0.9719689,guarders,short_and_or_deep,reef_associated,tetraodontiform
Canthigaster criobe,Actinopterygii,Tetraodontiformes,3.059999943,3,71.2,3.03,20,27.8,0.4134134,guarders,other_angular,reef_associated,tetraodontiform
Canthigaster cyanetron,Actinopterygii,Tetraodontiformes,1.340000033,5.2,32.6,3.07,40,25.23515833,0.9048967,guarders,short_and_or_deep,demersal,tetraodontiform
Canthigaster cyanospilota,Actinopterygii,Tetraodontiformes,1.220000029,7.3,25.8,3.07,80,27.7,0.9444476,guarders,short_and_or_deep,demersal,tetraodontiform
Canthigaster epilampra,Actinopterygii,Tetraodontiformes,1.289999962,8.2,16.3,3.12,60,27.5,0.8663341,guarders,short_and_or_deep,reef_associated,tetraodontiform
Canthigaster figueiredoi,Actinopterygii,Tetraodontiformes,1.340000033,8.2,16.3,3.07,35,27,0.8284111,guarders,short_and_or_deep,reef_associated,tetraodontiform
Canthigaster flavoreticulata,Actinopterygii,Tetraodontiformes,1.340000033,0.9,161.6,3.07,111,24.63886667,1.196888,guarders,short_and_or_deep,reef_associated,tetraodontiform
Canthigaster inframacula,Actinopterygii,Tetraodontiformes,1.639999986,5.5,47.6,3.06,274,16.9,0.7283139,guarders,short_and_or_deep,reef_associated,tetraodontiform
Canthigaster investigatoris,Actinopterygii,Tetraodontiformes,1.340000033,0.9,73.4,3.07,101,24.84860833,1.196888,guarders,short_and_or_deep,demersal,tetraodontiform
Canthigaster jactator,Actinopterygii,Tetraodontiformes,1.679999948,6.4,19.5,3.06,30,25.3,0.6951752,guarders,short_and_or_deep,reef_associated,tetraodontiform
Canthigaster jamestyleri,Actinopterygii,Tetraodontiformes,1.470000029,6.1,13.3,3.07,100,20.8,0.8005742,guarders,short_and_or_deep,reef_associated,tetraodontiform
Canthigaster janthinoptera,Actinopterygii,Tetraodontiformes,1.679999948,6.4,19.5,3.07,30,28.3,0.6951752,guarders,short_and_or_deep,reef_associated,tetraodontiform
Canthigaster leoparda,Actinopterygii,Tetraodontiformes,1.659999967,5.4,48,3.06,50,27.6,0.7103688,guarders,short_and_or_deep,reef_associated,tetraodontiform
Canthigaster margaritata,Actinopterygii,Tetraodontiformes,0.529999971,19.1,9.2,3.11,10,27.8,1.499393,guarders,short_and_or_deep,reef_associated,tetraodontiform
Canthigaster marquesensis,Actinopterygii,Tetraodontiformes,1.74000001,5.2,49.5,3.06,42,28,0.697794,guarders,short_and_or_deep,reef_associated,tetraodontiform
Canthigaster natalensis,Actinopterygii,Tetraodontiformes,1.460000038,6.1,13.2,3.07,15,27.3,0.7921119,guarders,short_and_or_deep,demersal,tetraodontiform
Canthigaster ocellicincta,Actinopterygii,Tetraodontiformes,1.659999967,5.4,74.2,3.06,53,28,0.7103688,guarders,short_and_or_deep,reef_associated,tetraodontiform
Canthigaster papua,Actinopterygii,Tetraodontiformes,1.269999981,7,13.7,3.07,50,28,0.9026717,guarders,short_and_or_deep,reef_associated,tetraodontiform
Canthigaster petersii,Actinopterygii,Tetraodontiformes,1.679999948,6.4,42.9,3.06,25,28.4,0.6951752,guarders,other_other,reef_associated,tetraodontiform
Canthigaster punctata,Actinopterygii,Tetraodontiformes,1.340000033,0.9,161.6,3.07,92,24.92458095,1.196888,guarders,short_and_or_deep,reef_associated,tetraodontiform
Canthigaster punctatissima,Actinopterygii,Tetraodontiformes,1.679999948,6.4,34.4,3.06,21,28.7,0.6951752,guarders_nesters,other_other,reef_associated,tetraodontiform
Canthigaster pygmaea,Actinopterygii,Tetraodontiformes,2.609999895,4.2,26,3.04,30,26.9,0.4815153,guarders,short_and_or_deep,reef_associated,tetraodontiform
Canthigaster rapaensis,Actinopterygii,Tetraodontiformes,1.600000024,5.6,46.6,3.06,59.10438889,26.62371667,0.726434,guarders,short_and_or_deep,reef_associated,tetraodontiform
Canthigaster rivulata,Actinopterygii,Tetraodontiformes,0.889999986,11.8,28.3,3.09,350,23.7,1.213528,guarders,short_and_or_deep,reef_associated,tetraodontiform
Canthigaster rostrata,Actinopterygii,Tetraodontiformes,1.289999962,8.2,55.6,3.28,40,26.4,0.8663341,guarders_nesters,short_and_or_deep,reef_associated,tetraodontiform
Canthigaster sanctaehelenae,Actinopterygii,Tetraodontiformes,1.840000033,4.9,23.2,3.06,50,26.94995,0.6465511,guarders,short_and_or_deep,reef_associated,tetraodontiform
Canthigaster smithae,Actinopterygii,Tetraodontiformes,1.200000048,8.8,15.6,3.07,40,26.7,0.9257606,guarders,short_and_or_deep,reef_associated,tetraodontiform
Canthigaster solandri,Actinopterygii,Tetraodontiformes,1.340000033,7.9,13.6,3.03,36,28,0.8429127,guarders_nesters,short_and_or_deep,reef_associated,tetraodontiform
Canthigaster supramacula,Actinopterygii,Tetraodontiformes,3.029999971,3,32.3,3.03,44.9675,26.85181429,0.4183977,guarders,short_and_or_deep,reef_associated,tetraodontiform
Canthigaster tyleri,Actinopterygii,Tetraodontiformes,1.679999948,6.4,66.3,2.82,40,27.7,0.6951752,guarders,short_and_or_deep,reef_associated,tetraodontiform
Canthigaster valentini,Actinopterygii,Tetraodontiformes,1.399999976,7.6,46.4,2.84,55,27.6,0.8044885,nonguarders_brood_hiders,short_and_or_deep,reef_associated,tetraodontiform
Caprodon affinis,Actinopterygii,Perciformes,0.379999995,17.1,14.4,3.54,294.73,16.77266667,2.045425,nonguarders,fusiform_normal_compressed,benthopelagic,subcarangiform
Caprodon krasyukovae,Actinopterygii,Perciformes,0.189999998,27.5,8.1,3.69,55,22.3,4.393034,nonguarders,fusiform_normal,demersal,subcarangiform
Caprodon longimanus,Actinopterygii,Perciformes,0.36,31.6,14.7,3.92,400,17.9,2.396786,nonguarders,fusiform_normal_compressed,reef_associated,subcarangiform
Caprodon schlegelii,Actinopterygii,Perciformes,0.300000012,21.2,5.7,3.4,200,23.3,2.697198,nonguarders,fusiform_normal_compressed,benthopelagic,subcarangiform
Caprodon unicolor,Actinopterygii,Perciformes,0.370000005,14.5,24.5,3.54,251,21.514,2.063363,nonguarders,short_and_or_deep_compressed,reef_associated,subcarangiform
Capromimus abbreviatus,Actinopterygii,Zeiformes,0.330354999,7,7.3,3.45,500,13,4.215600821,nonguarders,fusiform_normal,bathydemersal,subcarangiform
Capropygia unistriata,Actinopterygii,Tetraodontiformes,0.551611898,8.2,26.9,3.25,200,15.9,2.106764996,nonguarders,short_and_or_deep,demersal,ostraciiform
Capros aper,Actinopterygii,Perciformes,0.144999996,10.3562,8.3,3.14,700,10.7,7.406491,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,demersal,balistiform
Caquetaia kraussii,Actinopterygii,Perciformes,0.460000008,17.55639,9,3.36,99.095,23.0305,1.709574,guarders_clutch_tenders,short_and_or_deep,demersal,carangiform
Caracanthus madagascariensis,Actinopterygii,Scorpaeniformes,0.959999979,3.8,61,3.31,15,27.4,1.296747,nonguarders,short_and_or_deep,reef_associated,subcarangiform
Caracanthus typicus,Actinopterygii,Scorpaeniformes,1.320000052,2.4,95.4,3.19,15,27.103,1.048164,nonguarders,elongated_oval,reef_associated,subcarangiform
Caracanthus unipinna,Actinopterygii,Scorpaeniformes,0.959999979,3.8,27.7,3.6,15,28.3,1.296747,nonguarders,short_and_or_deep,reef_associated,subcarangiform
Caragobius burmanicus,Actinopterygii,Perciformes,0.75999999,7,40.2,3.49,44.05533333,26.03932029,1.49578,guarders,elongated,demersal,diodontiform
Caragobius urolepis,Actinopterygii,Perciformes,0.74000001,6.1,20.1,3.5,36.18490476,27.25617857,1.588303,guarders,elongated,demersal,diodontiform
Caralophia loxochila,Actinopterygii,Anguilliformes,0.469999999,27,16,3.74,25,27.3,1.784287,nonguarders,eel_like,reef_associated,anguilliform
Carangoides armatus,Actinopterygii,Perciformes,0.319999993,33.1,14.7,4.16,59,28.4,2.687438,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal_compressed,reef_associated,carangiform
Carangoides bajad,Actinopterygii,Perciformes,0.59799999,23.14358,12.2,3.97,70,28.5,1.374817,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal_compressed,reef_associated,carangiform
Carangoides bartholomaei,Actinopterygii,Perciformes,0.189999998,53.5,2.7,4.48,50,26.4,4.848777,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,carangiform
Carangoides chrysophrys,Actinopterygii,Perciformes,0.25,39.51513,4.8,4.29,60,27.5,3.532187,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,carangiform
Carangoides ciliarius,Actinopterygii,Perciformes,0.310000002,34.6,20.9,4.18,50,28.7,2.792748,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal_compressed,pelagic_neritic,carangiform
Carangoides coeruleopinnatus,Actinopterygii,Perciformes,0.439999998,24.4,6.6,4.44,60,27.8,1.882088,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,carangiform
Carangoides dinema,Actinopterygii,Perciformes,0.58,46.4,5,4.03,22,28.5,1.567778,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal_compressed,reef_associated,carangiform
Carangoides equula,Actinopterygii,Perciformes,0.400000006,17.98048,9.4,4.02,226,20.6,1.971279,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,carangiform
Carangoides ferdau,Actinopterygii,Perciformes,0.209999993,48.99515,5.2,4.31,60,28.1,4.326427,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal_compressed,reef_associated,carangiform
Carangoides fulvoguttatus,Actinopterygii,Perciformes,0.150000006,62.9,4,4.43,100,27.9,6.257501,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal_compressed,reef_associated,carangiform
Carangoides gymnostethus,Actinopterygii,Perciformes,0.209999993,48.8,4.5,4.12,100,27.8,4.328385,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal_compressed,reef_associated,carangiform
Carangoides hedlandensis,Actinopterygii,Perciformes,2.86,19.6,7.6,3.96,40,27.9,0.2870977,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,reef_associated,carangiform
Carangoides humerosus,Actinopterygii,Perciformes,0.699999988,15.7,9.3,4.04,50,28,1.113116,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,reef_associated,carangiform
Carangoides malabaricus,Actinopterygii,Perciformes,0.779999971,21.95688,8.4,3.9,140,27.2,1.060334,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,carangiform
Carangoides oblongus,Actinopterygii,Perciformes,0.400000006,27,7.3,4.08,50,28.1,2.100787,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal_compressed,reef_associated,carangiform
Carangoides orthogrammus,Actinopterygii,Perciformes,0.25,41.5,4.9,4.25,168,27.7,3.552294,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal_compressed,reef_associated,carangiform
